"","Package","Version"
"abind","abind","1.4-5"
"askpass","askpass","1.2.0"
"assertthat","assertthat","0.2.1"
"backports","backports","1.4.1"
"base","base","4.3.3"
"base64enc","base64enc","0.1-3"
"BiocGenerics","BiocGenerics","0.48.1"
"BiocManager","BiocManager","1.30.23"
"BiocVersion","BiocVersion","3.16.0"
"bit","bit","4.5.0"
"bit64","bit64","4.5.2"
"bitops","bitops","1.0-7"
"blob","blob","1.2.4"
"boot","boot","1.3-28.1"
"brew","brew","1.0-10"
"brio","brio","1.1.5"
"broom","broom","1.0.5"
"bslib","bslib","0.5.1"
"cachem","cachem","1.1.0"
"callr","callr","3.7.3"
"caret","caret","6.0-94"
"caTools","caTools","1.18.3"
"cellranger","cellranger","1.1.0"
"Ckmeans.1d.dp","Ckmeans.1d.dp","4.3.5"
"class","class","7.3-22"
"classInt","classInt","0.4-10"
"cli","cli","3.6.3"
"clipr","clipr","0.8.0"
"clock","clock","0.7.1"
"cluster","cluster","2.1.4"
"ClusterR","ClusterR","1.3.3"
"codetools","codetools","0.2-20"
"colorspace","colorspace","2.1-1"
"commonmark","commonmark","1.9.0"
"compiler","compiler","4.3.3"
"conflicted","conflicted","1.2.0"
"cowplot","cowplot","1.1.3"
"cpp11","cpp11","0.5.0"
"crayon","crayon","1.5.3"
"curl","curl","5.1.0"
"data.table","data.table","1.16.0"
"datasets","datasets","4.3.3"
"DBI","DBI","1.2.3"
"dbplyr","dbplyr","2.3.4"
"deldir","deldir","2.0-4"
"desc","desc","1.4.3"
"diagram","diagram","1.6.5"
"diffobj","diffobj","0.3.5"
"digest","digest","0.6.37"
"distances","distances","0.1.11"
"dplyr","dplyr","1.1.4"
"dtplyr","dtplyr","1.3.1"
"e1071","e1071","1.7-16"
"EBImage","EBImage","4.44.0"
"ellipsis","ellipsis","0.3.2"
"evaluate","evaluate","0.22"
"extraDistr","extraDistr","1.10.0"
"fansi","fansi","1.0.6"
"farver","farver","2.1.2"
"fastmap","fastmap","1.2.0"
"fftwtools","fftwtools","0.9-11"
"filelock","filelock","1.0.3"
"fontawesome","fontawesome","0.5.2"
"forcats","forcats","1.0.0"
"foreach","foreach","1.5.2"
"foreign","foreign","0.8-85"
"formatR","formatR","1.14"
"fs","fs","1.6.3"
"furrr","furrr","0.3.1"
"future","future","1.34.0"
"future.apply","future.apply","1.11.2"
"gargle","gargle","1.5.2"
"generics","generics","0.1.3"
"gghalves","gghalves","0.1.4"
"ggnewscale","ggnewscale","0.5.0"
"ggplot2","ggplot2","3.5.1"
"ggrepel","ggrepel","0.9.5"
"glmnet","glmnet","4.1-8"
"globals","globals","0.16.3"
"glue","glue","1.8.0"
"gmp","gmp","0.7-5"
"googledrive","googledrive","2.1.1"
"googlesheets4","googlesheets4","1.1.1"
"gower","gower","1.0.1"
"gplots","gplots","3.2.0"
"graphics","graphics","4.3.3"
"grDevices","grDevices","4.3.3"
"grid","grid","4.3.3"
"gtable","gtable","0.3.5"
"gtools","gtools","3.9.5"
"hardhat","hardhat","1.4.0"
"haven","haven","2.5.3"
"highr","highr","0.10"
"hms","hms","1.1.3"
"htmltools","htmltools","0.5.6.1"
"htmlwidgets","htmlwidgets","1.6.2"
"httpuv","httpuv","1.6.11"
"httr","httr","1.4.7"
"ids","ids","1.0.1"
"igraph","igraph","1.5.1"
"ipred","ipred","0.9-15"
"IRdisplay","IRdisplay","1.1"
"IRkernel","IRkernel","1.3.2"
"isoband","isoband","0.2.7"
"iterators","iterators","1.0.14"
"jpeg","jpeg","0.1-10"
"jquerylib","jquerylib","0.1.4"
"jsonlite","jsonlite","1.8.9"
"kasumi","kasumi","0.99.5"
"KernSmooth","KernSmooth","2.23-22"
"knitr","knitr","1.44"
"knn.covertree","knn.covertree","1.0"
"labeling","labeling","0.4.3"
"later","later","1.3.1"
"lattice","lattice","0.22-6"
"lava","lava","1.8.0"
"lifecycle","lifecycle","1.0.4"
"listenv","listenv","0.9.1"
"locfit","locfit","1.5-9.8"
"lubridate","lubridate","1.9.3"
"magrittr","magrittr","2.0.3"
"MASS","MASS","7.3-60"
"Matrix","Matrix","1.6-1.1"
"memoise","memoise","2.0.1"
"methods","methods","4.3.3"
"mgcv","mgcv","1.9-1"
"mime","mime","0.12"
"mistyR","mistyR","1.99.11"
"MLmetrics","MLmetrics","1.1.3"
"ModelMetrics","ModelMetrics","1.2.2.2"
"modelr","modelr","0.1.11"
"munsell","munsell","0.5.1"
"nlme","nlme","3.1-166"
"nnet","nnet","7.3-19"
"numDeriv","numDeriv","2016.8-1.1"
"openssl","openssl","2.1.1"
"parallel","parallel","4.3.3"
"parallelly","parallelly","1.38.0"
"patchwork","patchwork","1.3.0"
"pbdZMQ","pbdZMQ","0.3-10"
"pillar","pillar","1.9.0"
"pkgbuild","pkgbuild","1.4.4"
"pkgconfig","pkgconfig","2.0.3"
"pkgload","pkgload","1.4.0"
"plogr","plogr","0.2.0"
"plyr","plyr","1.8.9"
"png","png","0.1-8"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.2.0"
"pROC","pROC","1.18.5"
"processx","processx","3.8.2"
"prodlim","prodlim","2024.06.25"
"progress","progress","1.2.3"
"progressr","progressr","0.14.0"
"promises","promises","1.2.1"
"proxy","proxy","0.4-27"
"ps","ps","1.7.5"
"purrr","purrr","1.0.2"
"quantmod","quantmod","0.4.25"
"R.methodsS3","R.methodsS3","1.8.2"
"R.oo","R.oo","1.26.0"
"R.utils","R.utils","2.12.3"
"R6","R6","2.5.1"
"ragg","ragg","1.2.6"
"randomForest","randomForest","4.7-1.1"
"ranger","ranger","0.16.0"
"rappdirs","rappdirs","0.3.3"
"rbibutils","rbibutils","2.3"
"RColorBrewer","RColorBrewer","1.1-3"
"Rcpp","Rcpp","1.0.13"
"RcppArmadillo","RcppArmadillo","0.12.8.2.0"
"RcppEigen","RcppEigen","0.3.4.0.2"
"RCurl","RCurl","1.98-1.12"
"Rdpack","Rdpack","2.6.2"
"readr","readr","2.1.5"
"readxl","readxl","1.4.3"
"recipes","recipes","1.1.0"
"rematch","rematch","2.0.0"
"rematch2","rematch2","2.1.2"
